Title,Abstract,Authors,PublicationDate,DOI,Source
Neurological disorders caused by two cerebral alveolar hydatid cysts in an old woman: a rare case report.,"Alveolar hydatid disease, caused by Echinococcus multilocularis, is a life-threatening infectious disease which primarily occurs in the liver. Intracranial hydatid disease is a rare presentation with reported incidence of ~1% of all cases. Here we reported a 60-year-old woman, with the past history of hydatid cysts in her liver, who was presented to us with progressive symptoms consist of headaches, diminished vision, cognitive disorders and delusion. She was disoriented in time, space and person. Bilateral mild papilledema and exaggerated reflexes were observed. Magnetic resonance imaging of the brain revealed two intra-axial multilucular cystic masses in the fronto-pareital and parieto-occipital regions. The patient underwent two operations and the lesions were removed without any rupture. Medical therapy with Albendazole was started. Neurological symptoms disappeared a few weeks after the surgeries. Although multiple alveolar hydatid cysts are extremely rare, they should be considered in the differential diagnosis of intracranial cystic lesions.","Mokhtari H, Sadeghdoust M, Aligolighasemabadi F, Hashemiattar A, Ariabod V, Rahighi S",2017 Aug,10.1093/omcr/omx046 omx046,PubMed
A Case of Attempted Bilateral Self-Enucleation in a Patient with Bipolar Disorder.,"Attempted and completed self-enucleation, or removal of one's own eyes, is a rare but devastating form of self-mutilation behavior. It is often associated with psychiatric disorders, particularly schizophrenia, substance induced psychosis, and bipolar disorder. We report a case of a patient with a history of bipolar disorder who gouged his eyes bilaterally as an attempt to self-enucleate himself. On presentation, the patient was manic with both psychotic features of hyperreligous delusions and command auditory hallucinations of God telling him to take his eyes out. On presentation, the patient had no light perception vision in both eyes and his exam displayed severe proptosis, extensive conjunctival lacerations, and visibly avulsed extraocular muscles on the right side. An emergency computed tomography scan of the orbits revealed small and irregular globes, air within the orbits, and intraocular hemorrhage. He was taken to the operating room for surgical repair of his injuries. Attempted and completed self-enucleation is most commonly associated with schizophrenia and substance induced psychosis, but can also present in patients with bipolar disorder. Other less commonly associated disorders include obsessive-compulsive disorder, depression, mental retardation, neurosyphilis, Lesch-Nyhan syndrome, and structural brain lesions.","Castro HM, Alvarez J, Bota RG, Yonkers M, Tao J",2017 Mar 22,10.4081/mi.2017.7141 7141,PubMed
Caloric Vestibular Stimulation Reduces Pain and Somatoparaphrenia in a Severe Chronic Central Post-Stroke Pain Patient: A Case Study.,"Central post-stroke pain is a neuropathic syndrome characterized by intolerable contralesional pain and, in rare cases, somatic delusions. To date, there is limited evidence for the effective treatments of this disease. Here we used caloric vestibular stimulation to reduce pain and somatoparaphrenia in a 57-year-old woman suffering from central post-stroke pain. Resting-state functional magnetic resonance imaging was used to assess the neurological effects of this treatment. Following vestibular stimulation we observed impressive improvements in motor skills, pain, and somatic delusions. In the functional connectivity study before the vestibular stimulation, we observed differences in the patient's left thalamus functional connectivity, with respect to the thalamus connectivity of a control group (N = 20), in the bilateral cingulate cortex and left insula. After the caloric stimulation, the left thalamus functional connectivity with these regions, which are known to be involved in the cortical response to pain, disappeared as in the control group. The beneficial use of vestibular stimulation in the reduction of pain and somatic delusion in a CPSP patient is now documented by behavioral and imaging data. This evidence can be applied to theoretical models of pain and body delusions.","Spitoni GF, Pireddu G, Galati G, Sulpizio V, Paolucci S, Pizzamiglio L",2016,10.1371/journal.pone.0151213 e0151213,PubMed
Meningioma and psychiatric symptoms: A case report and brief review.,"BACKGROUND: Atypical presentation of psychiatric symptoms can lead to a variety of misdiagnoses. Organic causes, including brain tumors, should be considered under these circumstances. METHODS: We present a case report of an 84-year-old woman with irritable, aggressive, and delusional behavior. Her earlier diagnoses included altered mental status, encephalopathy, dementia, nonspecified psychosis, and delirium with delusions. We suspected that a brain tumor could be causing her psychiatric symptoms. RESULTS: CT of the head revealed 2 calcified meningiomas, which did not require surgery. Neuropsychological testing results were consistent with frontal lesion type of cognitive and psychotic symptoms. Psychiatric symptoms improved with risperidone. A brief review of the literature is included. CONCLUSIONS: Brain imaging should be considered in cases of atypical psychiatric presentations. Past medical records and neuropsychological testing could assist in the diagnosis.","Madhusoodanan S, Patel S, Reinharth J, Hines A, Serper M",2015 May,,PubMed
Psychosis in primary angiitis of the central nervous system involving bilateral thalami: a case report.,"OBJECTIVE: To report a case of primary angiitis of the central nervous system (PACNS), a rare inflammatory disease restricted to the central nervous system (CNS), with unusual clinical presentation mimicking schizophrenia. METHOD: Case report. RESULTS: A 45-year-old male presented with alteration of consciousness and confusion. Brain magnetic resonance imaging (MRI) scan showed a mass-like enhancing lesion involving bilateral thalami, and biopsy revealed findings compatible with PACNS. The patient was treated with corticosteroids. Psychotic symptoms crystallized over the initial 2 months after the diagnosis and persisted for over a year. Severity of his symptoms improved with gradual normalization of the radiologic findings and antipsychotic medication. CONCLUSION: Our case highlights the importance of considering PACNS as a differential diagnosis of a tumor-like mass lesion in the CNS and the significance of thalamic involvement in the pathogenesis of psychotic symptoms including delusions and hallucinations.","Kim S, Kim DK",2015 May-Jun,S0163-8343(15)00050-X [pii] 10.1016/j.genhosppsych.2015.03.006,PubMed
"Capgras syndrome in a very late onset, treatment resistant schizophrenia.","We report a Malay man, with underlying chronic medical illnesses, presenting with positive symptoms of schizophrenia, including Capgras syndrome (CS) at the age of 73. Physical examination and blood investigations were normal and brain CT scan showed age-related cerebral atrophy. Neuropsychological assessment showed probable right hemisphere lesions but relatively intact memory and intellectual functions. Several neuroleptics including depot injections were tried but ineffective. Positive symptoms including CS eventually improved with clozapine before his death from myocardial infarction. This case report highlights the uncommon occurrence of CS in treatment resistant schizophrenia (TRS) of very late onset and its treatment challenges.","Ain MK, Rosdinom R, Raynuha M",2015 Sep,10.1017/S1041610215000332,PubMed
[A case of focal epilepsy manifesting multiple psychiatric auras].,"We present a case of epilepsy with multiple types of focal seizures that were misdiagnosed as psychiatric disorders. A 20-year-old female patient presented with a variety of episodes, including loss of consciousness, deja vu, fear, delusion of possession, violent movements, and generalized convulsions. Each of these symptoms appeared in a stereotypic manner. She was initially diagnosed with a psychiatric disorder and treated with psychoactive medications, which had no effect. Long-term video electroencephalography revealed that her episodes of violent movement with impaired consciousness and secondarily generalized seizure were epileptic events originating in the right hemisphere. High-field brain magnetic resonance imaging for detecting subtle lesions revealed bilateral lesions from periventricular nodular heterotopia. Her final diagnosis was right hemispheric focal epilepsy. Carbamazepine administration was started, which successfully controlled all seizures. The present case demonstrates the pitfall of diagnosing focal epilepsy when it presents with multiple types of psychiatric aura. Epilepsy should thus be included in differential diagnoses, considering the stereotypic nature of symptoms, to avoid misdiagnosis.","Ezura M, Kakisaka Y, Jin K, Kato K, Iwasaki M, Fujikawa M, Aoki M, Nakasato N",2015 Jan,10.11477/mf.1416200093,PubMed
"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","Perren F, Heydrich L, Blanke O, Landis T",2015 Jan,10.1007/s00221-014-4101-z,PubMed
A case of Gorlin-Goltz syndrome presented with psychiatric features.,"We report a case of a 34-year-old male who presented with an acute onset of pleomorphic psychiatric features. Upon examination we later diagnosed him with Gorlin-Goltz syndrome based on clinical and radiological findings that are characteristic for this rare autosomal dominant syndrome. His psychiatric manifestations included irritability, aggressive behavior, labile mood, hallucinations, paranoid delusions, and transient cognitive impairment. His past history indicated surgical excision of pigmented lesion in the left lower eyelid which turned out to be a basal cell carcinoma. His past visits to dermatology clinics indicated pitted keratosis involving hands, callosities, and seborrheic dermatitis. There were numerous palmar pits, and Brain CT Head scan revealed extensive calcification along falx cerebri and around the cerebellar vermis. He had low (20 ng/L) vitamin D level and high parathyroid hormone level. The patient improved using antipsychotic medications and vitamin D supplementations for symptomatic management and was discharged with a plan for multispecialty outpatient follow-up. This case highlights the importance of considering rare organic etiologies in the differential diagnosis of patients presenting with psychiatric symptoms. This is of vital importance for early intervention to prevent complications and for better outcomes of the coexistent diseases.","Mufaddel A, Alsabousi M, Salih B, Alhassani G, Osman OT",2014,10.1155/2014/830874 830874,PubMed
Spontaneous rupture of intracranial dermoid tumor in a patient with vertigo. Computed tomography and magnetic resonance imaging findings.,"BACKGROUND: Congenital dermoid cysts are very rare, constituting less than 1% of intracranial tumors. Spontaneous rupture of dermoid tumor is a potentially serious complication that can lead to meningitis, seizures, cerebral ischemia and hydrocephalus. Occasionally, dermoid tumors are incidentally discovered on computed tomography (CT) of the brain or magnetic resonance imaging (MRI) following unrelated clinical complaints. They are also discovered during radiologic investigations of unexplained headaches, seizures, and rarely olfactory delusions. CASE REPORT: In this report we describe a patient complaining of vertigo caused by spontaneous rupture of dermoid cyst, preoperatively diagnosed by CT and MRI. Cranial CT revealed a dense fatty lesion adjacent to the posterolateral parasellar region on the left with multiple small, dense fat droplets scattered in the subarachnoid space corresponding to a dermoid cyst rupture. Cranial MRI sections revealed a lesion with mixed-signal-intensity and multiple hyperintense droplets scattered through the cerebellar surface on the left. No enhancement was found on axial T1-weighted MRI after intravenous Gadolinium administration. Diffusion weighted image (DWI) and apparent diffusion coefficient map studies exhibited explicit restricted diffusion. DISCUSSION: Many studies and literature case reports concerning the rupture of dermoid cyst have been reported. However, multimodal imaging of this rare pathology in the same patient is uncommon. Although dermoid cysts are pathognomonic in appearance on a CT examination, the MRI is also of value in helping to understand the effect of extension and pressure of the mass. DWI is also important for support of the diagnosis and patient follow-up.","Asil K, Gunduz Y, Ayhan LT, Aksoy YE, Yildiz C",2013 Oct,10.12659/PJR.889172,PubMed
When a loved one feels unfamiliar: a case study on the neural basis of Capgras delusion.,"Perception of familiar faces depends on a core system analysing visual appearance and an extended system dealing with inference of mental states and emotional responses. Damage to the core system impairs face perception as seen in prosopagnosia. In contrast, patients with Capgras delusion show intact face perception but believe that closely related persons are impostors. It has been suggested that two deficits are necessary for the delusion, an aberrant perceptual or affective experience that leads to a bizarre belief as well as an impaired ability to evaluate beliefs. Using functional magnetic resonance imaging, we compared neural activity to familiar and unfamiliar faces in a patient with Capgras delusion and an age matched control group. We provide evidence that Capgras delusion is related to dysfunctional activity in the extended face processing system. The patient, who developed the delusion for the partner after a large right prefrontal lesion sparing the ventromedial and medial orbitofrontal cortex, lacked neural activity to the partner's face in left posterior cingulate cortex and left posterior superior temporal sulcus. Further, we found impaired functional connectivity of the latter region with the left superior frontal gyrus and to a lesser extent with the right superior frontal sulcus/middle frontal gyrus. The findings of this case study suggest that the first factor in Capgras delusion may be reduced neural activity in the extended face processing system that deals with inference of mental states while the second factor may be due to a lesion in the right middle frontal gyrus.","Thiel CM, Studte S, Hildebrandt H, Huster R, Weerda R",2014 Mar,S0010-9452(13)00287-6 [pii] 10.1016/j.cortex.2013.11.011,PubMed
Psychotic symptoms in normal pressure hydrocephalus.,"Normal Pressure Hydrocephalus due to idiopathic aqueductal stenosis is a chronic abnormal accumulation of cerebrospinal fluid in the cerebral ventricles caused by an obstruction in the Sylvian aqueduct. This leads to a dilatation of the ventricular system and to subsequent damage of the adjacent parenchyma. Although NPH typically presents with the progressive 'triad' of cognitive impairment, gait disturbance and urinary incontinence, it has been described that it rarely manifests in the form of predominant psychotic symptoms. It has been suggested that thought and perceptual disorders could develop secondary to the damage caused by NPH. Although precise anatomical correlates have not yet been established, certain cerebral regions -primarily the frontal cortex, mesencephalic and diencephalic structures of the brain- have been implicated in the pathogenesis of hydrocephalic psychosis. Because frontal lobe lesions are traditionally known to facilitate one's inability to integrate and correct perceptual distortions in the face of contradictory evidence, frontal lobe dysfunction may be integral in delineating the etiology of delusions in NPH. We present the case of a 30-year-old female, admitted involuntarily to our acute psychiatric department because she exhibited aggressive behavior while being in an agitated state with delusions of persecution. Her neurological examination disclosed subtle bradykinesia. Neuropsychological batteries and intelligence testing revealed mild cognitive impairment and a CT scan showed considerable dilatation of the ventricular system due to idiopathic aqueductal stenosis. While a conservative approach was chosen for the treatment of NPH, our patient was initiated on 2nd generation antipsychotics showing marked improvement of her psychiatric symptomatology. The atypical presentation of hydrocephalus in the aforementioned case underlines the necessity to thoroughly investigate the possible presence of an underlying organic factor in those patients who present with predominant psychotic symptoms in association with soft non-localising neurological signs and mild cognitive deficits. Furthermore, our patient's marked improvement indicates that, in cases where the primary cause is treated conservatively, hydrocephalic psychosis could respond to 2nd generation antipsychotics. In light of this case report, we reviewed past and present literature on the matter.","Chatziioannidis S, Charatsidou I, Nikolaidis N, Garyfallos G, Giouzepas I",2013 Jul-Sep,,PubMed
Body ownership and attention in the mirror: insights from somatoparaphrenia and the rubber hand illusion.,"The brain receives and synthesises information about the body from different modalities, coordinates and perspectives, and affords us with a coherent and stable sense of body ownership. We studied this sense in a somatoparaphrenic patient and three control patients, all with unilateral right-hemisphere lesions. We experimentally manipulated the visual perspective (direct- versus mirror-view) and spatial attention (drawn to peripersonal space versus extrapersonal space) in an experiment involving recognising one's own hand. The somatoparaphrenic patient denied limb ownership in all direct view trials, but viewing the hand via a mirror significantly increased ownership. The extent of this increase depended on spatial attention; when attention was drawn to the extrapersonal space (near-the-mirror) the patient showed a near perfect recognition of her arm in the mirror, while when attention was drawn to peripersonal space (near-the-body) the patient recognised her arm in only half the mirror trials. In a supplementary experiment, we used the Rubber Hand Illusion to manipulate the same factors in healthy controls. Ownership of the rubber hand occurred in both direct and mirror view, but shifting attention between peripersonal and extrapersonal space had no effect on rubber-hand ownership. We conclude that the isolation of visual perspectives on the body and the division of attention between two different locations is not sufficient to affect body ownership in healthy individuals and right hemisphere controls. However, in somatoparaphrenia, where first-person body ownership and stimulus-driven attention are impaired by lesions to a right-hemisphere ventral attentional-network, the body can nevertheless be recognised as one's own if perceived in a third-person visual perspective and particularly if top-down, spatial attention is directed away from peripersonal space.","Jenkinson PM, Haggard P, Ferreira NC, Fotopoulou A",2013 Jul,S0028-3932(13)00102-4 [pii] 10.1016/j.neuropsychologia.2013.03.029,PubMed
Delusions of death in a patient with right hemisphere infarction.,"Although a role for right hemisphere dysfunction has been hypothesized in Cotard delusion, it remains unclear which functions are disturbed. We report here the first known patient with unilateral right hemisphere lesions and delusions of death (1 of the 2 types of Cotard delusion). This man began to believe that he was dead after suffering a right hemisphere infarction involving the frontal, temporal, and parietal lobes, as well as the thalamus. He had delusions of death in the context of both depersonalization/derealization and delusional misidentifications of people and places. Neuropsychological testing revealed left hemispatial neglect and deficits in general attention. The patient's sense of body ownership and face recognition abilities were preserved. This case suggests that abnormal feelings of familiarity, which have been implicated in several delusional misidentification syndromes, contribute significantly to the development of delusions of death. If this is true, affective processes involved in the identification of people and places and in the feeling of being alive may partially overlap, and these affective processes may be supported by the right hemisphere.","Nishio Y, Mori E",2012 Dec,10.1097/WNN.0b013e31827504c7,PubMed
What is mine? Behavioral and anatomical dissociations between somatoparaphrenia and anosognosia for hemiplegia.,"We describe the clinical manifestations and the lesion patterns of five patients with somatoparaphrenia, the denial of ownership for a paralyzed limb, who showed the rare dissociation from anosognosia for hemiplegia. Similar cases have been only occasionally cited in the literature with scanty descriptions of their symptoms and no detailed anatomical assessment. All patients had extrapersonal and at least mild personal neglect. The lesions pattern was mainly subcortical, with a significant involvement of the right thalamus, the basal ganglia and the internal capsule. A formal comparison between the anatomical pattern previously associated with anosognosia in a study performed in 2005 by Berti and colleagues, and the lesion distribution of each patient clearly shows that our pure somatoparaphrenic patients had a sparing of most of the regions associated with anosognosia for hemiplegia. The behavioral dissociation between SP and anosognosia for hemiplegia, together with this new anatomical evidence, suggests that motor awareness is not sufficient to build up a sense of ownership and therefore these two cognitive abilities are at least in part functionally independent and qualitatively different.","Invernizzi P, Gandola M, Romano D, Zapparoli L, Bottini G, Paulesu E",2013,10.3233/BEN-2012-110226,PubMed
